cod_scuola,nome_scuola,indirizzo_scuola,sito_scuola,scuola_paritaria,id_provincia,id_regione,id_comune,comune_scuola,num_diplomati_x_coorte,indice_fga,fga_forchetta_bassa,fga_forchetta_alta,indice_perc_cfu,indice_media_voti,completamento_pct,tasso_immatricolazione_pct,tasso_non_immatricolazione_pct,abbandono_pct,voto_medio_immatricolati,voto_medio_non_immatricolati,comune_di_ricerca,raggio_km_ricerca,tipologia_ricerca
FIPMT8500I,SALESIANI DON BOSCO,VIA DEL GHIRLANDAIO 40,http://salesianifirenze.it/,1,48,9,48017,Firenze,21,38.71,28.6,50.94,33.91,23.22,6.5,63.08,36.92,18.46,77.93,68.42,Firenze,10,Scienze Umane - Economico sociale
FIPMP9500U,CAVOUR PACINOTTI,VLE MACHIAVELLI 3133,http://www.cavourpacinotti.net/,1,48,9,48017,Firenze,23,30.42,19.81,45.62,10.59,24.03,0.0,53.62,46.38,26.09,82.92,78.91,Firenze,10,Scienze Umane - Economico sociale
FIPMRR500G,PIERO CALAMANDREI,VIA GHIBELLINA 77,http://www.istitutocalamandrei.it,1,48,9,48017,Firenze,20,27.79,17.82,41.58,12.65,23.15,0.0,68.85,31.15,32.79,82.26,75.26,Firenze,10,Scienze Umane - Economico sociale
FITD028013,GOBETTI - VOLTA,VIA ROMA 77A,http://www.gobettivolta.gov.it/,0,48,9,48001,Bagno a Ripoli,114,63.24,58.81,68.07,62.64,25.66,6.48,75.22,24.78,10.5,83.59,76.19,Firenze,10,Linguistico
FITN01000P,MARCO POLO,VIA BARTOLO A CINTOIA 19A,http://www.ittmarcopolo.gov.it/,0,48,9,48017,Firenze,101,60.87,56.26,66.03,58.21,25.62,7.07,76.57,23.43,14.19,84.8,82.44,Firenze,10,Linguistico
FIPM03301Q,GIUSEPPE PEANO,VIA ANDREA DEL SARTO 6A,http://www.peano.edu.it/,0,48,9,48017,Firenze,79,52.61,47.51,58.63,51.15,24.49,6.5,76.37,23.63,18.99,80.78,77.93,Firenze,10,Linguistico
FIPL085005,SANTA MARTA,VIA GABRIELE D'ANNUNZIO 209,http://www.scuolasantamartafirenze.com/,1,48,9,48017,Firenze,0,,,,,,0.0,,,,,,Firenze,10,Linguistico
FIPL8A500L,ISTITUTO DEL SACRO CUORE,VIALE MICHELANGIOLO 2327,http://www.sacrocuore.com,1,48,9,48017,Firenze,0,,,,,,0.0,,,,,,Firenze,10,Linguistico
FIPLZD500L,CAVOUR - PACINOTTI,VIA PIAN DEI CARPINI 136,http://www.cavourpacinotti.net/,1,48,9,48017,Firenze,0,,,,,,0.0,,,,,,Firenze,10,Linguistico
FIPLV0500F,SCUOLE PIE FIORENTINE,VIA LAMARMORA 35,,1,48,9,48017,Firenze,0,,,,,,0.0,,,,,,Firenze,10,Linguistico
FISL03201Q,IS ALBERTI - DANTE,VIA SAN GALLO 68,http://www.iisalberti-dante.it/,0,48,9,48017,Firenze,98,52.62,45.97,61.11,37.64,26.11,5.15,33.45,66.55,11.82,85.59,80.58,Firenze,10,Artistico
FISD03000L,PORTA ROMANA,PZALE DI PORTA ROMANA 9,http://www.artisticoportaromanafirenze.gov.it/,0,48,9,48017,Firenze,0,,,,,,0.0,,,,,,Firenze,10,Artistico
FITD019018,GALILEO GALILEI,VIA DI SCANDICCI 151,http://www.isis-galilei.fi.gov.it/,0,48,9,48017,Firenze,65,58.72,52.33,66.0,55.77,25.4,5.24,55.9,44.1,11.28,82.01,73.21,Firenze,10,Tecnico - Economico
FITD00901N,RUSSELL - NEWTON,VIA FABRIZIO DE ANDRE' 6,http://www.russell-newton.edu.it/,0,48,9,48041,Scandicci,32,51.57,42.72,62.14,43.9,25.11,3.73,55.67,44.33,15.46,81.61,73.67,Firenze,10,Tecnico - Economico
FITD013019,SALVEMINI - DUCA D'AOSTA,VIA GIUSTI 2729,http://www.polotecnico.gov.it/,0,48,9,48017,Firenze,62,48.72,42.88,55.66,46.69,24.09,5.52,71.51,28.49,19.89,82.83,72.34,Firenze,10,Tecnico - Economico
FITD03301E,GIUSEPPE PEANO,VIA ANDREA DEL SARTO 6A,http://www.peano.edu.it/,0,48,9,48017,Firenze,45,42.23,34.8,51.81,33.66,24.1,6.54,57.35,42.65,19.85,84.4,75.53,Firenze,10,Tecnico - Economico
FITN02901R,SASSETTI - PERUZZI,VIA SAN DONATO 46,http://www.sassettiperuzzi.edu.it/,0,48,9,48017,Firenze,23,15.1,3.16,32.28,4.04,21.14,3.26,40.85,59.15,21.13,77.93,73.15,Firenze,10,Tecnico - Economico
