cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
ALPMQR5008,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
ALSD00101B,32.1,67.9,"[12.3, 5.7, 13.2, 0.9]","[8.5, 9.4, 17.9, 32.1]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,2.8,3.5,3.6
ALSL004019,39.2,60.7,"[15.0, 11.2, 6.5, 6.5]","[13.1, 22.4, 14.0, 11.2]",Docenti per fasce di età (%) (A.S. 2025/26),21.5,5.5,6.0,3.3,3.5,3.6
PVSLMT5003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
ALTD004018,39.2,60.7,"[15.0, 11.2, 6.5, 6.5]","[13.1, 22.4, 14.0, 11.2]",Docenti per fasce di età (%) (A.S. 2025/26),21.5,5.5,6.0,3.3,3.5,3.6
ALTD00601X,44.7,55.3,"[19.4, 11.8, 10.0, 3.5]","[7.6, 13.5, 12.4, 21.8]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.5,6.0,8.5,3.5,3.6
ALTL00601A,44.7,55.3,"[19.4, 11.8, 10.0, 3.5]","[7.6, 13.5, 12.4, 21.8]",Docenti per fasce di età (%) (A.S. 2025/26),6.6,5.5,6.0,8.5,3.5,3.6
CNPC007015,35.800000000000004,64.2,"[9.8, 16.1, 5.4, 4.5]","[8.9, 7.1, 24.1, 24.1]",Docenti per fasce di età (%) (A.S. 2025/26),6.7,5.5,6.0,5.8,3.5,3.6
ATPC00301E,37.0,63.0,"[12.2, 11.6, 8.8, 4.4]","[10.5, 13.3, 16.0, 23.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,1.0,3.5,3.6
ATPS01000Q,5.699999999999999,94.3,"[1.4, 0.0, 2.9, 1.4]","[11.4, 18.6, 24.3, 40.0]",Docenti per fasce di età (%) (A.S. 2025/26),1.6,5.5,6.0,4.8,3.5,3.6
ATPS00201T,33.0,67.0,"[13.8, 7.3, 6.4, 5.5]","[6.4, 14.7, 15.6, 30.3]",Docenti per fasce di età (%) (A.S. 2025/26),8.0,5.5,6.0,6.8,3.5,3.6
ATPM01000R,24.6,75.4,"[10.3, 6.3, 3.2, 4.8]","[3.2, 17.5, 19.8, 34.9]",Docenti per fasce di età (%) (A.S. 2025/26),3.4,5.5,6.0,4.3,3.5,3.6
ATPS715002,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
CNPM04000X,28.8,71.3,"[11.4, 7.6, 5.3, 4.5]","[6.1, 12.1, 20.5, 32.6]",Docenti per fasce di età (%) (A.S. 2025/26),5.6,5.5,6.0,0.0,3.5,3.6
ATPL01500N,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
CNSL007015,35.800000000000004,64.2,"[9.8, 16.1, 5.4, 4.5]","[8.9, 7.1, 24.1, 24.1]",Docenti per fasce di età (%) (A.S. 2025/26),6.7,5.5,6.0,5.8,3.5,3.6
ATSD003014,37.0,63.0,"[12.2, 11.6, 8.8, 4.4]","[10.5, 13.3, 16.0, 23.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,1.0,3.5,3.6
ATTD01001L,,,,,,,,,,,
ATTD00201N,33.0,67.0,"[13.8, 7.3, 6.4, 5.5]","[6.4, 14.7, 15.6, 30.3]",Docenti per fasce di età (%) (A.S. 2025/26),8.0,5.5,6.0,6.8,3.5,3.6
ATTD01000G,,,,,,,,,,,
ATTF01001V,38.7,61.1,"[12.9, 12.9, 8.8, 4.1]","[10.0, 17.6, 14.1, 19.4]",Docenti per fasce di età (%) (A.S. 2025/26),10.3,5.5,6.0,4.0,3.5,3.6
ATTA00401V,39.6,60.6,"[12.8, 10.5, 11.6, 4.7]","[7.0, 14.0, 10.5, 29.1]",Docenti per fasce di età (%) (A.S. 2025/26),8.8,5.5,6.0,1.8,3.5,3.6
TOPC020003,23.9,76.0,"[8.7, 6.5, 5.4, 3.3]","[5.4, 7.6, 31.5, 31.5]",Docenti per fasce di età (%) (A.S. 2025/26),4.2,5.5,6.0,1.5,3.5,3.6
BIPC00101R,20.0,80.1,"[1.7, 7.5, 7.5, 3.3]","[2.5, 14.2, 26.7, 36.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.1,5.5,6.0,2.2,3.5,3.6
BIPS00401B,14.3,85.39999999999999,"[4.3, 1.4, 7.2, 1.4]","[7.2, 17.4, 27.5, 33.3]",Docenti per fasce di età (%) (A.S. 2025/26),5.5,5.5,6.0,0.0,3.5,3.6
BIPS01000N,15.8,84.2,"[3.5, 7.9, 4.4, 0.0]","[3.5, 7.0, 27.2, 46.5]",Docenti per fasce di età (%) (A.S. 2025/26),4.0,5.5,6.0,4.0,3.5,3.6
BITF01000Q,24.3,75.6,"[6.8, 8.5, 7.3, 1.7]","[6.8, 14.1, 19.7, 35.0]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,3.3,3.5,3.6
TOPS01000G,24.8,75.2,"[13.3, 5.3, 2.7, 3.5]","[6.2, 16.8, 16.8, 35.4]",Docenti per fasce di età (%) (A.S. 2025/26),5.8,5.5,6.0,3.7,3.5,3.6
VCSL00101T,22.4,77.6,"[8.8, 4.1, 6.8, 2.7]","[2.7, 12.8, 18.2, 43.9]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.5,6.0,6.0,3.5,3.6
TOSD02601L,44.2,55.9,"[12.6, 14.7, 12.1, 4.8]","[7.4, 19.5, 13.0, 16.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.0,5.5,6.0,6.4,3.5,3.6
BISL00101R,20.0,80.1,"[1.7, 7.5, 7.5, 3.3]","[2.5, 14.2, 26.7, 36.7]",Docenti per fasce di età (%) (A.S. 2025/26),1.1,5.5,6.0,2.2,3.5,3.6
BITD00601V,37.2,62.8,"[12.2, 12.2, 9.9, 2.9]","[5.8, 15.7, 18.6, 22.7]",Docenti per fasce di età (%) (A.S. 2025/26),2.2,5.5,6.0,4.3,3.5,3.6
TOTD02401A,41.3,58.6,"[10.1, 18.1, 10.9, 2.2]","[10.1, 7.2, 19.6, 21.7]",Docenti per fasce di età (%) (A.S. 2025/26),6.8,5.5,6.0,4.5,3.5,3.6
BITA007018,43.0,56.9,"[9.2, 15.0, 11.5, 7.3]","[2.3, 8.8, 24.6, 21.2]",Docenti per fasce di età (%) (A.S. 2025/26),4.9,5.5,6.0,4.2,3.5,3.6
CNPC060001,,,,,,,,,,,
CNPS07000P,29.6,70.4,"[8.2, 13.3, 7.1, 1.0]","[10.2, 16.3, 19.4, 24.5]",Docenti per fasce di età (%) (A.S. 2025/26),5.3,5.5,6.0,3.9,3.5,3.6
CNPS010003,32.5,67.6,"[20.3, 5.4, 1.4, 5.4]","[8.1, 12.2, 20.3, 27.0]",Docenti per fasce di età (%) (A.S. 2025/26),10.6,5.5,6.0,0.0,3.5,3.6
CNPS02000N,8.6,91.4,"[2.6, 2.6, 3.4, 0.0]","[5.1, 6.8, 26.5, 53.0]",Docenti per fasce di età (%) (A.S. 2025/26),2.9,5.5,6.0,5.5,3.5,3.6
CNTF017022,17.2,82.8,"[6.5, 4.2, 5.6, 0.9]","[11.2, 15.8, 27.4, 28.4]",Docenti per fasce di età (%) (A.S. 2025/26),1.7,5.5,6.0,1.2,3.5,3.6
CNTF029017,26.8,73.2,"[8.9, 10.2, 4.5, 3.2]","[7.0, 19.7, 16.6, 29.9]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.5,6.0,1.9,3.5,3.6
